unrest,（社会的な）不安,2020/8/26
set fire to,～に火をつける,2020/8/26
enough is enough,もうたくさんだ、もういいかげんにしよう,2020/8/26
break up,（活動などを）やめさせる、中断させる,2020/8/26
be wounded,（刃物、銃砲などで）負傷する,2020/8/26
witness,～を目撃する,2020/8/26
point A at B,AをBに向ける,2020/8/26
indication,しるし、兆候,2020/8/26
take place,（事件が）起きる、（行事）が行われる,2020/8/26
incite,（怒り、好奇心を）起こさせる、かき立てる,2020/8/26
the scene of,～の現場,2020/8/26
light a fire,（火を）たきつける、燃やす,2020/8/26
dismissal,解雇,2020/8/26
set off,（花火、ロケットを）打ち上げる、発射する,2020/8/26
reportedly,伝えられるところによれば,2020/8/26
instigator,扇動者,2020/8/26
a row of,～の列、１列の～、立ち並ぶ～,2020/8/26
set off,(旅、場所に）出発する,2020/8/27
once upon a time,昔々,2020/8/27
hurry to,～へ急ぐ,2020/8/27
spot ,場所、現場,2020/8/27
drive away,～を追い払う,2020/8/27
in charge of,～を世話している,2020/8/27
likeliest,最もありそうな,2020/8/27
shrinkage,収縮、縮小,2020/8/27
mature,成熟する,2020/8/27
fisherman,漁民、漁師,2020/8/27
indigenous people,先住民,2020/8/27
reddish,赤みがかった,2020/8/27
feed on,～をえさとする、食べる,2020/8/27
flake,剥げ落ちる,2020/8/27
a reek of,～の強い臭気,2020/8/27
sniff at,～のにおいをかぐ,2020/8/27
greenish,緑色がかった,2020/8/27
claw,（カニ、エビの）はさみ、かぎづめ,2020/8/27
savage,獰猛な,2020/8/28
handsome,顔立ちが美しい,2020/8/28
vicious,意地の悪い、悪意のある,2020/8/28
traitor,裏切り者,2020/8/28
spectacle,見もの、見せ物,2020/8/28
make for,～に向かっていく,2020/8/28
take one's leave of,～に暇乞いをする,2020/8/28
doorway,戸口、出入り口,2020/8/28
live up to,（期待）に沿う、応える,2020/8/29
be capable of,～の能力がある、～できる,2020/8/29
confidence,自信、信頼,2020/8/29
bowel,腸,2020/8/29
in a row,連続して、立て続けに,2020/8/29
gut-wrenching,断腸の思いの,2020/8/29
settle the issue of,～の問題を解決する,2020/8/29
pull out of,～から抜け出す,2020/8/29
consecutive,連続した,2020/8/29
for now,今のところ、差し当たり,2020/8/29
paramount,最重要の,2020/8/29
forced,強いられた,2020/8/30
outbreak,（突然の）発生,2020/8/30
be in treatment for,～の治療中である,2020/8/30
evict,（合法的に）立ち退かせる,2020/8/30
have a hard time doing,なかなか～できない、悪戦苦闘する,2020/8/30
affordable,手ごろな価格の,2020/8/30
at risk of,～の危険性がある、～の恐れがある,2020/8/30
tens of thousands of,何万もの、数万の,2020/8/30
unemployed,失業中の,2020/8/30
call for,～を要求する,2020/8/30
head for,～に向かう,2020/8/30
landlord,家主、地主、大家,2020/8/30
at-risk,危険にさらされている,2020/8/30
make a living,生計を立てる,2020/8/30
unearth,～を掘り出す、～を発掘する,2020/8/31
remains,遺跡、遺骨,2020/8/31
archaeologist,考古学者,2020/8/31
burial ground,墓地,2020/8/31
dig up,～を掘り出す,2020/8/31
surrounding,周囲の、取り囲んでいる,2020/8/31
back then,その当時は,2020/8/31
syphilis,梅毒,2020/8/31
populated area,人口の多い地域,2020/8/31
coffin,棺,2020/8/31
cemetery,共同墓地,2020/8/31
make history,歴史的な偉業を成し遂げる,2020/8/31
expertise,専門知識、（専門家の）助言,2020/8/31
feedback,（ユーザーからの）反応、意見、評価,2020/8/31
threaten to,～すると脅す,2020/8/31
antagonistic,対立する、敵対する,2020/8/31
cozy up to,～にすり寄る、～と近づきになろうとする,2020/8/31
carry out,（計画を）実行する,2020/8/31
show off,～を見せびらかす、誇示する,2020/8/31
hold back,～を妨げる,2020/8/31
be reluctant to,～するのに気が進まない、渋々～する,2020/8/31
backlash,（政策に対する）大衆の反発,2020/8/31
run through,～を走り抜ける,2020/8/31
vibrant,鮮やかで強烈な,2020/8/31
mistake A for B,AをBと間違える,2020/8/31
geyser,間欠泉,2020/8/31
deep down in,～の下深く,2020/8/31
spout out of,～からほとばしり出る,2020/8/31
gush up from,～から噴出する,2020/8/31
harden into,固まって～になる,2020/8/31
accumulate into,堆積して～になる,2020/8/31
right next to,～のすぐ隣に,2020/8/31
at a rate of,～のペースで,2020/8/31
due to,～が原因で,2020/8/31
blanket,～を覆う,2020/8/31
wondrous,素晴らしい,2020/8/31
alga,藻類、藻,2020/8/31
